year,level_norm,city,latitude,longtitude
1994,0.0,Newport,41.51000,-71.33300
1995,33.0,Newport,41.51000,-71.33300
1996,82.2,Newport,41.51000,-71.33300
1997,78.9,Newport,41.51000,-71.33300
1998,101.8,Newport,41.51000,-71.33300
1999,60.6,Newport,41.51000,-71.33300
2000,44.7,Newport,41.51000,-71.33300
2001,58.4,Newport,41.51000,-71.33300
2002,41.2,Newport,41.51000,-71.33300
2003,53.4,Newport,41.51000,-71.33300
2004,55.6,Newport,41.51000,-71.33300
2005,112.5,Newport,41.51000,-71.33300
2006,97.6,Newport,41.51000,-71.33300
2007,52.1,Newport,41.51000,-71.33300
2008,78.5,Newport,41.51000,-71.33300
2009,109.4,Newport,41.51000,-71.33300
2010,166.0,Newport,41.51000,-71.33300
2011,139.0,Newport,41.51000,-71.33300
2012,130.4,Newport,41.51000,-71.33300
2013,107.8,Newport,41.51000,-71.33300
2014,107.5,Newport,41.51000,-71.33300
