year,level_norm,city,latitude,longtitude
1994,0.0,Hakodate,41.78300,140.73300
1995,15.5,Hakodate,41.78300,140.73300
1996,-17.4,Hakodate,41.78300,140.73300
1997,7.8,Hakodate,41.78300,140.73300
1998,-10.3,Hakodate,41.78300,140.73300
1999,9.5,Hakodate,41.78300,140.73300
2000,10.6,Hakodate,41.78300,140.73300
2001,-15.7,Hakodate,41.78300,140.73300
2002,12.1,Hakodate,41.78300,140.73300
2003,-8.7,Hakodate,41.78300,140.73300
2004,33.5,Hakodate,41.78300,140.73300
2005,22.5,Hakodate,41.78300,140.73300
2006,-2.3,Hakodate,41.78300,140.73300
2007,14.1,Hakodate,41.78300,140.73300
2008,-14.6,Hakodate,41.78300,140.73300
2009,9.8,Hakodate,41.78300,140.73300
2010,35.2,Hakodate,41.78300,140.73300
2011,-18.0,Hakodate,41.78300,140.73300
2012,-13.5,Hakodate,41.78300,140.73300
2013,-15.2,Hakodate,41.78300,140.73300
2014,-58.1,Hakodate,41.78300,140.73300
