year,level_norm,city,latitude,longtitude
1994,0.0,South Beach,44.62500,-124.04300
1995,48.7,South Beach,44.62500,-124.04300
1996,17.0,South Beach,44.62500,-124.04300
1997,72.8,South Beach,44.62500,-124.04300
1998,54.2,South Beach,44.62500,-124.04300
1999,-24.6,South Beach,44.62500,-124.04300
2000,-27.2,South Beach,44.62500,-124.04300
2001,-50.4,South Beach,44.62500,-124.04300
2002,-27.5,South Beach,44.62500,-124.04300
2003,27.5,South Beach,44.62500,-124.04300
2004,12.5,South Beach,44.62500,-124.04300
2005,19.7,South Beach,44.62500,-124.04300
2006,33.9,South Beach,44.62500,-124.04300
2007,-42.1,South Beach,44.62500,-124.04300
2008,-25.7,South Beach,44.62500,-124.04300
2009,-6.7,South Beach,44.62500,-124.04300
2010,52.8,South Beach,44.62500,-124.04300
2011,1.3,South Beach,44.62500,-124.04300
2012,54.5,South Beach,44.62500,-124.04300
2013,-52.6,South Beach,44.62500,-124.04300
2014,74.4,South Beach,44.62500,-124.04300
