year,level_norm,city,latitude,longtitude
1994,0.0,Eastport,44.91000,-66.99000
1995,35.2,Eastport,44.91000,-66.99000
1996,79.5,Eastport,44.91000,-66.99000
1997,76.4,Eastport,44.91000,-66.99000
1998,69.4,Eastport,44.91000,-66.99000
1999,35.5,Eastport,44.91000,-66.99000
2000,39.4,Eastport,44.91000,-66.99000
2001,39.7,Eastport,44.91000,-66.99000
2002,35.5,Eastport,44.91000,-66.99000
2003,49.2,Eastport,44.91000,-66.99000
2004,39.9,Eastport,44.91000,-66.99000
2005,87.7,Eastport,44.91000,-66.99000
2006,84.8,Eastport,44.91000,-66.99000
2007,51.1,Eastport,44.91000,-66.99000
2008,59.2,Eastport,44.91000,-66.99000
2009,96.2,Eastport,44.91000,-66.99000
2010,164.0,Eastport,44.91000,-66.99000
2011,139.5,Eastport,44.91000,-66.99000
2012,115.1,Eastport,44.91000,-66.99000
2013,111.1,Eastport,44.91000,-66.99000
2014,97.6,Eastport,44.91000,-66.99000
