year,level_norm,city,latitude,longtitude
1994,0.0,Toke Point (Willapa Bay),46.70500,-123.95900
1995,44.1,Toke Point (Willapa Bay),46.70500,-123.95900
1996,0.6,Toke Point (Willapa Bay),46.70500,-123.95900
1997,90.6,Toke Point (Willapa Bay),46.70500,-123.95900
1998,61.1,Toke Point (Willapa Bay),46.70500,-123.95900
1999,-21.1,Toke Point (Willapa Bay),46.70500,-123.95900
2000,-45.3,Toke Point (Willapa Bay),46.70500,-123.95900
2001,-46.2,Toke Point (Willapa Bay),46.70500,-123.95900
2002,-47.6,Toke Point (Willapa Bay),46.70500,-123.95900
2003,15.8,Toke Point (Willapa Bay),46.70500,-123.95900
2004,-3.1,Toke Point (Willapa Bay),46.70500,-123.95900
2005,2.6,Toke Point (Willapa Bay),46.70500,-123.95900
2006,12.7,Toke Point (Willapa Bay),46.70500,-123.95900
2007,-34.9,Toke Point (Willapa Bay),46.70500,-123.95900
2008,-48.4,Toke Point (Willapa Bay),46.70500,-123.95900
2009,-27.8,Toke Point (Willapa Bay),46.70500,-123.95900
2010,-8.6,Toke Point (Willapa Bay),46.70500,-123.95900
2011,-50.6,Toke Point (Willapa Bay),46.70500,-123.95900
2012,-2.4,Toke Point (Willapa Bay),46.70500,-123.95900
2013,-116.1,Toke Point (Willapa Bay),46.70500,-123.95900
2014,-37.0,Toke Point (Willapa Bay),46.70500,-123.95900
