year,level_norm,city,latitude,longtitude
1994,0.0,Unalaska (Dutch Harbor),53.88300,-166.53300
1995,28.8,Unalaska (Dutch Harbor),53.88300,-166.53300
1996,-44.7,Unalaska (Dutch Harbor),53.88300,-166.53300
1997,30.8,Unalaska (Dutch Harbor),53.88300,-166.53300
1998,19.5,Unalaska (Dutch Harbor),53.88300,-166.53300
1999,-56.2,Unalaska (Dutch Harbor),53.88300,-166.53300
2000,-12.6,Unalaska (Dutch Harbor),53.88300,-166.53300
2001,-26.8,Unalaska (Dutch Harbor),53.88300,-166.53300
2002,-18.4,Unalaska (Dutch Harbor),53.88300,-166.53300
2003,1.6,Unalaska (Dutch Harbor),53.88300,-166.53300
2004,-11.3,Unalaska (Dutch Harbor),53.88300,-166.53300
2005,15.5,Unalaska (Dutch Harbor),53.88300,-166.53300
2006,-40.6,Unalaska (Dutch Harbor),53.88300,-166.53300
2007,-48.2,Unalaska (Dutch Harbor),53.88300,-166.53300
2008,-44.4,Unalaska (Dutch Harbor),53.88300,-166.53300
2009,-55.1,Unalaska (Dutch Harbor),53.88300,-166.53300
2010,-12.9,Unalaska (Dutch Harbor),53.88300,-166.53300
2011,-50.2,Unalaska (Dutch Harbor),53.88300,-166.53300
2012,-78.2,Unalaska (Dutch Harbor),53.88300,-166.53300
2013,-80.9,Unalaska (Dutch Harbor),53.88300,-166.53300
2014,22.6,Unalaska (Dutch Harbor),53.88300,-166.53300
