year,level_norm,city,latitude,longtitude
1994,0.0,Sitka,57.05200,-135.34200
1995,-22.6,Sitka,57.05200,-135.34200
1996,-38.4,Sitka,57.05200,-135.34200
1997,38.8,Sitka,57.05200,-135.34200
1998,14.2,Sitka,57.05200,-135.34200
1999,-1.0,Sitka,57.05200,-135.34200
2000,-26.7,Sitka,57.05200,-135.34200
2001,1.1,Sitka,57.05200,-135.34200
2002,-39.7,Sitka,57.05200,-135.34200
2003,15.5,Sitka,57.05200,-135.34200
2004,-12.3,Sitka,57.05200,-135.34200
2005,21.6,Sitka,57.05200,-135.34200
2006,23.6,Sitka,57.05200,-135.34200
2007,6.8,Sitka,57.05200,-135.34200
2008,-17.1,Sitka,57.05200,-135.34200
2009,-62.1,Sitka,57.05200,-135.34200
2010,-10.5,Sitka,57.05200,-135.34200
2011,-82.5,Sitka,57.05200,-135.34200
2012,-60.7,Sitka,57.05200,-135.34200
2013,-171.6,Sitka,57.05200,-135.34200
2014,-71.1,Sitka,57.05200,-135.34200
