year,level_norm,city,latitude,longtitude
1994,0.0,Seward,60.11900,-149.42700
1995,-9.5,Seward,60.11900,-149.42700
1996,-106.0,Seward,60.11900,-149.42700
1997,3.0,Seward,60.11900,-149.42700
1998,-14.4,Seward,60.11900,-149.42700
1999,-45.1,Seward,60.11900,-149.42700
2000,-48.1,Seward,60.11900,-149.42700
2001,-6.4,Seward,60.11900,-149.42700
2002,-52.4,Seward,60.11900,-149.42700
2003,-24.0,Seward,60.11900,-149.42700
2004,-76.8,Seward,60.11900,-149.42700
2005,-25.9,Seward,60.11900,-149.42700
2006,-28.1,Seward,60.11900,-149.42700
2007,-93.5,Seward,60.11900,-149.42700
2008,-93.4,Seward,60.11900,-149.42700
2009,-149.6,Seward,60.11900,-149.42700
2010,-41.7,Seward,60.11900,-149.42700
2011,-115.3,Seward,60.11900,-149.42700
2012,-87.8,Seward,60.11900,-149.42700
2013,-168.3,Seward,60.11900,-149.42700
2014,-65.9,Seward,60.11900,-149.42700
