year,level_norm,city,latitude,longtitude
1994,0.0,Cordova,60.55800,-145.75300
1995,-13.8,Cordova,60.55800,-145.75300
1996,-66.3,Cordova,60.55800,-145.75300
1997,31.9,Cordova,60.55800,-145.75300
1998,7.3,Cordova,60.55800,-145.75300
1999,-3.2,Cordova,60.55800,-145.75300
2000,-13.8,Cordova,60.55800,-145.75300
2001,27.1,Cordova,60.55800,-145.75300
2002,-18.9,Cordova,60.55800,-145.75300
2003,23.1,Cordova,60.55800,-145.75300
2004,-10.1,Cordova,60.55800,-145.75300
2005,32.8,Cordova,60.55800,-145.75300
2006,28.7,Cordova,60.55800,-145.75300
2007,-19.3,Cordova,60.55800,-145.75300
2008,-8.4,Cordova,60.55800,-145.75300
2009,-56.6,Cordova,60.55800,-145.75300
2010,16.0,Cordova,60.55800,-145.75300
2011,-43.4,Cordova,60.55800,-145.75300
2012,-4.3,Cordova,60.55800,-145.75300
2013,-89.9,Cordova,60.55800,-145.75300
2014,5.6,Cordova,60.55800,-145.75300
