year,level_norm,city,latitude,longtitude
1994,0.0,Malakal,7.32800,134.45000
1995,15.8,Malakal,7.32800,134.45000
1996,82.7,Malakal,7.32800,134.45000
1997,-81.4,Malakal,7.32800,134.45000
1998,167.9,Malakal,7.32800,134.45000
1999,239.7,Malakal,7.32800,134.45000
2000,183.0,Malakal,7.32800,134.45000
2001,187.4,Malakal,7.32800,134.45000
2002,21.8,Malakal,7.32800,134.45000
2003,45.5,Malakal,7.32800,134.45000
2004,9.3,Malakal,7.32800,134.45000
2005,77.2,Malakal,7.32800,134.45000
2006,142.1,Malakal,7.32800,134.45000
2007,80.3,Malakal,7.32800,134.45000
2008,251.9,Malakal,7.32800,134.45000
2009,174.3,Malakal,7.32800,134.45000
2010,175.2,Malakal,7.32800,134.45000
2011,229.9,Malakal,7.32800,134.45000
2012,239.5,Malakal,7.32800,134.45000
2013,260.6,Malakal,7.32800,134.45000
2014,103.2,Malakal,7.32800,134.45000
