year,level_norm,city,latitude,longtitude
1994,0.0,Honningsvag,70.98000,25.98000
1995,29.6,Honningsvag,70.98000,25.98000
1996,-30.9,Honningsvag,70.98000,25.98000
1997,7.7,Honningsvag,70.98000,25.98000
1998,-25.1,Honningsvag,70.98000,25.98000
1999,32.6,Honningsvag,70.98000,25.98000
2000,15.7,Honningsvag,70.98000,25.98000
2001,7.8,Honningsvag,70.98000,25.98000
2002,21.7,Honningsvag,70.98000,25.98000
2003,46.0,Honningsvag,70.98000,25.98000
2004,30.1,Honningsvag,70.98000,25.98000
2005,46.4,Honningsvag,70.98000,25.98000
2006,42.0,Honningsvag,70.98000,25.98000
2007,67.9,Honningsvag,70.98000,25.98000
2008,20.0,Honningsvag,70.98000,25.98000
2009,12.3,Honningsvag,70.98000,25.98000
2010,-39.4,Honningsvag,70.98000,25.98000
2011,40.7,Honningsvag,70.98000,25.98000
2012,10.8,Honningsvag,70.98000,25.98000
2013,21.3,Honningsvag,70.98000,25.98000
2014,-8.9,Honningsvag,70.98000,25.98000
