year,level_norm,city,latitude,longtitude
1994,0.0,Kwajalein,8.73700,167.73800
1995,29.7,Kwajalein,8.73700,167.73800
1996,67.6,Kwajalein,8.73700,167.73800
1997,-67.2,Kwajalein,8.73700,167.73800
1998,32.6,Kwajalein,8.73700,167.73800
1999,73.4,Kwajalein,8.73700,167.73800
2000,89.7,Kwajalein,8.73700,167.73800
2001,69.9,Kwajalein,8.73700,167.73800
2002,-7.9,Kwajalein,8.73700,167.73800
2003,66.5,Kwajalein,8.73700,167.73800
2004,64.1,Kwajalein,8.73700,167.73800
2005,83.0,Kwajalein,8.73700,167.73800
2006,81.1,Kwajalein,8.73700,167.73800
2007,171.2,Kwajalein,8.73700,167.73800
2008,158.7,Kwajalein,8.73700,167.73800
2009,94.7,Kwajalein,8.73700,167.73800
2010,173.7,Kwajalein,8.73700,167.73800
2011,175.6,Kwajalein,8.73700,167.73800
2012,203.1,Kwajalein,8.73700,167.73800
2013,169.6,Kwajalein,8.73700,167.73800
2014,112.6,Kwajalein,8.73700,167.73800
