year,level_norm,city,latitude,longtitude
1994,0.0,Gan,-0.68700,73.15200
1995,-5.3,Gan,-0.68700,73.15200
1996,-9.1,Gan,-0.68700,73.15200
1997,-4.7,Gan,-0.68700,73.15200
1998,43.7,Gan,-0.68700,73.15200
1999,14.9,Gan,-0.68700,73.15200
2000,35.8,Gan,-0.68700,73.15200
2001,0.1,Gan,-0.68700,73.15200
2002,11.3,Gan,-0.68700,73.15200
2003,19.8,Gan,-0.68700,73.15200
2004,9.6,Gan,-0.68700,73.15200
2005,-9.9,Gan,-0.68700,73.15200
2006,15.3,Gan,-0.68700,73.15200
2007,30.2,Gan,-0.68700,73.15200
2008,42.3,Gan,-0.68700,73.15200
2009,17.0,Gan,-0.68700,73.15200
2010,30.5,Gan,-0.68700,73.15200
2011,35.0,Gan,-0.68700,73.15200
2012,74.9,Gan,-0.68700,73.15200
2013,52.6,Gan,-0.68700,73.15200
2014,41.6,Gan,-0.68700,73.15200
