year,level_norm,city,latitude,longtitude
1994,0.0,Cocos Is. (Keeling),-12.11700,96.88300
1995,-76.9,Cocos Is. (Keeling),-12.11700,96.88300
1996,48.9,Cocos Is. (Keeling),-12.11700,96.88300
1997,-20.7,Cocos Is. (Keeling),-12.11700,96.88300
1998,-78.3,Cocos Is. (Keeling),-12.11700,96.88300
1999,36.4,Cocos Is. (Keeling),-12.11700,96.88300
2000,-12.9,Cocos Is. (Keeling),-12.11700,96.88300
2001,58.2,Cocos Is. (Keeling),-12.11700,96.88300
2002,56.0,Cocos Is. (Keeling),-12.11700,96.88300
2003,30.9,Cocos Is. (Keeling),-12.11700,96.88300
2004,43.9,Cocos Is. (Keeling),-12.11700,96.88300
2005,50.6,Cocos Is. (Keeling),-12.11700,96.88300
2006,57.3,Cocos Is. (Keeling),-12.11700,96.88300
2007,-9.1,Cocos Is. (Keeling),-12.11700,96.88300
2008,85.3,Cocos Is. (Keeling),-12.11700,96.88300
2009,85.4,Cocos Is. (Keeling),-12.11700,96.88300
2010,77.2,Cocos Is. (Keeling),-12.11700,96.88300
2011,117.2,Cocos Is. (Keeling),-12.11700,96.88300
2012,111.3,Cocos Is. (Keeling),-12.11700,96.88300
2013,89.5,Cocos Is. (Keeling),-12.11700,96.88300
2014,143.8,Cocos Is. (Keeling),-12.11700,96.88300
