year,level_norm,city,latitude,longtitude
1994,0.0,Port Vila VU (Villa),-17.75000,168.28000
1995,4.8,Port Vila VU (Villa),-17.75000,168.28000
1996,79.8,Port Vila VU (Villa),-17.75000,168.28000
1997,50.7,Port Vila VU (Villa),-17.75000,168.28000
1998,3.0,Port Vila VU (Villa),-17.75000,168.28000
1999,7.6,Port Vila VU (Villa),-17.75000,168.28000
2000,91.8,Port Vila VU (Villa),-17.75000,168.28000
2001,107.5,Port Vila VU (Villa),-17.75000,168.28000
2002,79.1,Port Vila VU (Villa),-17.75000,168.28000
2003,33.8,Port Vila VU (Villa),-17.75000,168.28000
2004,44.4,Port Vila VU (Villa),-17.75000,168.28000
2005,32.6,Port Vila VU (Villa),-17.75000,168.28000
2006,51.1,Port Vila VU (Villa),-17.75000,168.28000
2007,91.3,Port Vila VU (Villa),-17.75000,168.28000
2008,132.4,Port Vila VU (Villa),-17.75000,168.28000
2009,164.9,Port Vila VU (Villa),-17.75000,168.28000
2010,72.8,Port Vila VU (Villa),-17.75000,168.28000
2011,94.7,Port Vila VU (Villa),-17.75000,168.28000
2012,85.3,Port Vila VU (Villa),-17.75000,168.28000
2013,55.5,Port Vila VU (Villa),-17.75000,168.28000
2014,42.5,Port Vila VU (Villa),-17.75000,168.28000
