year,level_norm,city,latitude,longtitude
1995,0.0,Pte Des Galets (Reunion Is.),-20.93000,55.30000
1997,47.0,Pte Des Galets (Reunion Is.),-20.93000,55.30000
1998,-27.7,Pte Des Galets (Reunion Is.),-20.93000,55.30000
1999,-10.1,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2000,15.3,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2001,27.0,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2002,79.7,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2003,65.6,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2004,73.9,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2005,96.6,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2007,134.2,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2008,144.4,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2009,97.0,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2010,179.4,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2011,91.8,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2012,107.0,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2013,94.1,Pte Des Galets (Reunion Is.),-20.93000,55.30000
2014,168.6,Pte Des Galets (Reunion Is.),-20.93000,55.30000
