year,level_norm,city,latitude,longtitude
1994,0.0,Rosslyn Bay,-23.17000,150.78000
1995,-14.0,Rosslyn Bay,-23.17000,150.78000
1996,0.0,Rosslyn Bay,-23.17000,150.78000
1997,-15.4,Rosslyn Bay,-23.17000,150.78000
1998,35.4,Rosslyn Bay,-23.17000,150.78000
1999,52.9,Rosslyn Bay,-23.17000,150.78000
2000,32.7,Rosslyn Bay,-23.17000,150.78000
2001,27.7,Rosslyn Bay,-23.17000,150.78000
2002,6.7,Rosslyn Bay,-23.17000,150.78000
2003,26.5,Rosslyn Bay,-23.17000,150.78000
2004,-4.9,Rosslyn Bay,-23.17000,150.78000
2005,23.6,Rosslyn Bay,-23.17000,150.78000
2006,2.1,Rosslyn Bay,-23.17000,150.78000
2007,12.5,Rosslyn Bay,-23.17000,150.78000
2008,28.6,Rosslyn Bay,-23.17000,150.78000
2009,40.2,Rosslyn Bay,-23.17000,150.78000
2010,102.9,Rosslyn Bay,-23.17000,150.78000
2011,92.4,Rosslyn Bay,-23.17000,150.78000
2012,68.2,Rosslyn Bay,-23.17000,150.78000
2013,111.9,Rosslyn Bay,-23.17000,150.78000
2014,92.4,Rosslyn Bay,-23.17000,150.78000
