year,level_norm,city,latitude,longtitude
1994,0.0,San Felix,-26.25800,-80.12400
1995,53.8,San Felix,-26.25800,-80.12400
1996,-23.6,San Felix,-26.25800,-80.12400
1997,14.9,San Felix,-26.25800,-80.12400
1998,-83.2,San Felix,-26.25800,-80.12400
1999,-127.4,San Felix,-26.25800,-80.12400
2000,-187.9,San Felix,-26.25800,-80.12400
2001,-165.3,San Felix,-26.25800,-80.12400
2002,-155.7,San Felix,-26.25800,-80.12400
2003,-147.2,San Felix,-26.25800,-80.12400
2004,-170.8,San Felix,-26.25800,-80.12400
2005,-169.4,San Felix,-26.25800,-80.12400
2006,-159.9,San Felix,-26.25800,-80.12400
2007,-136.5,San Felix,-26.25800,-80.12400
2008,-43.8,San Felix,-26.25800,-80.12400
2009,-86.3,San Felix,-26.25800,-80.12400
2010,-72.0,San Felix,-26.25800,-80.12400
2011,-103.1,San Felix,-26.25800,-80.12400
2012,-71.1,San Felix,-26.25800,-80.12400
2013,-92.6,San Felix,-26.25800,-80.12400
2014,-102.2,San Felix,-26.25800,-80.12400
