year,level_norm,city,latitude,longtitude
1994,0.0,Valparaiso,-33.03300,-71.61700
1995,-41.1,Valparaiso,-33.03300,-71.61700
1996,-5.2,Valparaiso,-33.03300,-71.61700
1997,132.6,Valparaiso,-33.03300,-71.61700
1998,42.8,Valparaiso,-33.03300,-71.61700
1999,0.3,Valparaiso,-33.03300,-71.61700
2000,17.8,Valparaiso,-33.03300,-71.61700
2001,60.7,Valparaiso,-33.03300,-71.61700
2002,57.8,Valparaiso,-33.03300,-71.61700
2003,39.2,Valparaiso,-33.03300,-71.61700
2004,70.3,Valparaiso,-33.03300,-71.61700
2005,27.8,Valparaiso,-33.03300,-71.61700
2006,36.0,Valparaiso,-33.03300,-71.61700
2007,-42.1,Valparaiso,-33.03300,-71.61700
2008,-18.8,Valparaiso,-33.03300,-71.61700
2009,1.4,Valparaiso,-33.03300,-71.61700
2010,-23.4,Valparaiso,-33.03300,-71.61700
2011,-26.5,Valparaiso,-33.03300,-71.61700
2012,53.9,Valparaiso,-33.03300,-71.61700
2013,-12.8,Valparaiso,-33.03300,-71.61700
2014,-47.3,Valparaiso,-33.03300,-71.61700
