year,level_norm,city,latitude,longtitude
1994,0.0,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
1995,24.5,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
1996,-5.0,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
1997,116.7,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
1998,85.8,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
1999,-4.8,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2000,2.2,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2001,-4.7,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2002,-3.8,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2003,43.3,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2004,49.6,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2005,47.9,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2006,81.0,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2007,96.1,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2008,43.6,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2009,67.5,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2010,79.5,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2011,97.7,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2012,103.2,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2013,93.8,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
2014,85.5,Pointe La Rue Mahe Is. (Port Victoria),-4.67200,55.52800
