year,level_norm,city,latitude,longtitude
1994,0.0,Burnie,-41.05000,145.92000
1995,5.0,Burnie,-41.05000,145.92000
1996,42.8,Burnie,-41.05000,145.92000
1997,-38.7,Burnie,-41.05000,145.92000
1998,-3.9,Burnie,-41.05000,145.92000
1999,34.5,Burnie,-41.05000,145.92000
2000,58.9,Burnie,-41.05000,145.92000
2001,48.4,Burnie,-41.05000,145.92000
2002,21.5,Burnie,-41.05000,145.92000
2003,16.8,Burnie,-41.05000,145.92000
2004,14.4,Burnie,-41.05000,145.92000
2005,38.3,Burnie,-41.05000,145.92000
2006,-3.6,Burnie,-41.05000,145.92000
2007,47.7,Burnie,-41.05000,145.92000
2008,51.2,Burnie,-41.05000,145.92000
2009,59.7,Burnie,-41.05000,145.92000
2010,47.9,Burnie,-41.05000,145.92000
2011,59.2,Burnie,-41.05000,145.92000
2012,68.7,Burnie,-41.05000,145.92000
2013,95.3,Burnie,-41.05000,145.92000
2014,59.2,Burnie,-41.05000,145.92000
