year,level_norm,city,latitude,longtitude
1994,0.0,Spring Bay,-42.54600,147.93300
1995,-13.1,Spring Bay,-42.54600,147.93300
1996,25.5,Spring Bay,-42.54600,147.93300
1997,-47.4,Spring Bay,-42.54600,147.93300
1998,-5.8,Spring Bay,-42.54600,147.93300
1999,5.7,Spring Bay,-42.54600,147.93300
2000,36.1,Spring Bay,-42.54600,147.93300
2001,24.6,Spring Bay,-42.54600,147.93300
2002,20.2,Spring Bay,-42.54600,147.93300
2003,6.9,Spring Bay,-42.54600,147.93300
2004,15.9,Spring Bay,-42.54600,147.93300
2005,40.5,Spring Bay,-42.54600,147.93300
2006,1.6,Spring Bay,-42.54600,147.93300
2007,34.4,Spring Bay,-42.54600,147.93300
2008,39.8,Spring Bay,-42.54600,147.93300
2009,53.7,Spring Bay,-42.54600,147.93300
2010,38.3,Spring Bay,-42.54600,147.93300
2011,43.0,Spring Bay,-42.54600,147.93300
2012,61.3,Spring Bay,-42.54600,147.93300
2013,88.0,Spring Bay,-42.54600,147.93300
2014,51.1,Spring Bay,-42.54600,147.93300
