year,level_norm,city,latitude,longtitude
1994,0.0,Port Stanley,-51.70000,-57.82000
1995,-13.3,Port Stanley,-51.70000,-57.82000
1996,-12.1,Port Stanley,-51.70000,-57.82000
1997,2.2,Port Stanley,-51.70000,-57.82000
1998,7.1,Port Stanley,-51.70000,-57.82000
1999,4.1,Port Stanley,-51.70000,-57.82000
2000,10.7,Port Stanley,-51.70000,-57.82000
2001,-3.1,Port Stanley,-51.70000,-57.82000
2002,-7.6,Port Stanley,-51.70000,-57.82000
2003,26.5,Port Stanley,-51.70000,-57.82000
2004,18.5,Port Stanley,-51.70000,-57.82000
2005,12.5,Port Stanley,-51.70000,-57.82000
2006,38.1,Port Stanley,-51.70000,-57.82000
2007,20.8,Port Stanley,-51.70000,-57.82000
2008,-2.4,Port Stanley,-51.70000,-57.82000
2009,48.3,Port Stanley,-51.70000,-57.82000
2010,-2.1,Port Stanley,-51.70000,-57.82000
2011,8.8,Port Stanley,-51.70000,-57.82000
2012,37.6,Port Stanley,-51.70000,-57.82000
2013,31.2,Port Stanley,-51.70000,-57.82000
2014,87.8,Port Stanley,-51.70000,-57.82000
