year,level_norm,city,latitude,longtitude
1994,0.0,Penrhyn,-9.01700,-158.06700
1995,12.1,Penrhyn,-9.01700,-158.06700
1996,-52.0,Penrhyn,-9.01700,-158.06700
1997,-14.9,Penrhyn,-9.01700,-158.06700
1998,-101.0,Penrhyn,-9.01700,-158.06700
1999,-86.0,Penrhyn,-9.01700,-158.06700
2000,-81.5,Penrhyn,-9.01700,-158.06700
2001,-26.4,Penrhyn,-9.01700,-158.06700
2002,22.1,Penrhyn,-9.01700,-158.06700
2003,30.3,Penrhyn,-9.01700,-158.06700
2004,-0.8,Penrhyn,-9.01700,-158.06700
2005,38.6,Penrhyn,-9.01700,-158.06700
2006,-48.8,Penrhyn,-9.01700,-158.06700
2007,-9.1,Penrhyn,-9.01700,-158.06700
2008,-73.9,Penrhyn,-9.01700,-158.06700
2009,-40.4,Penrhyn,-9.01700,-158.06700
2010,15.6,Penrhyn,-9.01700,-158.06700
2011,-84.8,Penrhyn,-9.01700,-158.06700
2012,-51.6,Penrhyn,-9.01700,-158.06700
2013,27.5,Penrhyn,-9.01700,-158.06700
2014,64.1,Penrhyn,-9.01700,-158.06700
