year,level_norm,city,latitude,longtitude
1994,0.0,Honiara,-9.43300,159.95000
1995,104.3,Honiara,-9.43300,159.95000
1996,172.5,Honiara,-9.43300,159.95000
1997,20.7,Honiara,-9.43300,159.95000
1998,-48.8,Honiara,-9.43300,159.95000
1999,188.2,Honiara,-9.43300,159.95000
2000,214.8,Honiara,-9.43300,159.95000
2001,167.1,Honiara,-9.43300,159.95000
2002,91.4,Honiara,-9.43300,159.95000
2003,112.2,Honiara,-9.43300,159.95000
2004,108.7,Honiara,-9.43300,159.95000
2005,127.0,Honiara,-9.43300,159.95000
2006,162.5,Honiara,-9.43300,159.95000
2007,175.0,Honiara,-9.43300,159.95000
2008,236.1,Honiara,-9.43300,159.95000
2009,181.2,Honiara,-9.43300,159.95000
2010,124.9,Honiara,-9.43300,159.95000
2011,258.3,Honiara,-9.43300,159.95000
2012,215.8,Honiara,-9.43300,159.95000
2013,190.4,Honiara,-9.43300,159.95000
2014,176.5,Honiara,-9.43300,159.95000
