year,level_norm,city,latitude,longtitude
1994,0.0,Cartagena,10.40000,-75.55000
1995,-38.8,Cartagena,10.40000,-75.55000
1996,-40.1,Cartagena,10.40000,-75.55000
1997,-11.1,Cartagena,10.40000,-75.55000
1998,11.8,Cartagena,10.40000,-75.55000
1999,26.6,Cartagena,10.40000,-75.55000
2000,18.0,Cartagena,10.40000,-75.55000
2001,30.6,Cartagena,10.40000,-75.55000
2002,80.0,Cartagena,10.40000,-75.55000
2006,57.9,Cartagena,10.40000,-75.55000
2007,73.7,Cartagena,10.40000,-75.55000
2008,35.1,Cartagena,10.40000,-75.55000
2009,-43.7,Cartagena,10.40000,-75.55000
2010,38.1,Cartagena,10.40000,-75.55000
2011,49.8,Cartagena,10.40000,-75.55000
2012,84.7,Cartagena,10.40000,-75.55000
2013,106.1,Cartagena,10.40000,-75.55000
2014,147.5,Cartagena,10.40000,-75.55000
