year,level_norm,city,latitude,longtitude
1994,0.0,Guam (Apra Harbour},13.59000,144.87000
1995,-34.0,Guam (Apra Harbour},13.59000,144.87000
1996,53.9,Guam (Apra Harbour},13.59000,144.87000
1997,-118.0,Guam (Apra Harbour},13.59000,144.87000
1999,111.5,Guam (Apra Harbour},13.59000,144.87000
2000,99.8,Guam (Apra Harbour},13.59000,144.87000
2001,72.1,Guam (Apra Harbour},13.59000,144.87000
2002,-9.0,Guam (Apra Harbour},13.59000,144.87000
2003,17.5,Guam (Apra Harbour},13.59000,144.87000
2004,17.3,Guam (Apra Harbour},13.59000,144.87000
2005,60.6,Guam (Apra Harbour},13.59000,144.87000
2006,109.5,Guam (Apra Harbour},13.59000,144.87000
2007,89.2,Guam (Apra Harbour},13.59000,144.87000
2008,176.6,Guam (Apra Harbour},13.59000,144.87000
2009,101.9,Guam (Apra Harbour},13.59000,144.87000
2010,78.4,Guam (Apra Harbour},13.59000,144.87000
2011,92.5,Guam (Apra Harbour},13.59000,144.87000
2012,147.8,Guam (Apra Harbour},13.59000,144.87000
2013,148.4,Guam (Apra Harbour},13.59000,144.87000
2014,59.2,Guam (Apra Harbour},13.59000,144.87000
