year,level_norm,city,latitude,longtitude
1994,0.0,Naha,26.22000,127.67000
1995,43.7,Naha,26.22000,127.67000
1996,64.8,Naha,26.22000,127.67000
1997,92.2,Naha,26.22000,127.67000
1998,122.6,Naha,26.22000,127.67000
1999,74.1,Naha,26.22000,127.67000
2000,73.1,Naha,26.22000,127.67000
2001,128.2,Naha,26.22000,127.67000
2002,60.6,Naha,26.22000,127.67000
2003,72.4,Naha,26.22000,127.67000
2004,99.9,Naha,26.22000,127.67000
2005,101.0,Naha,26.22000,127.67000
2006,121.1,Naha,26.22000,127.67000
2007,103.0,Naha,26.22000,127.67000
2008,98.0,Naha,26.22000,127.67000
2009,117.4,Naha,26.22000,127.67000
2010,106.3,Naha,26.22000,127.67000
2011,85.4,Naha,26.22000,127.67000
2012,137.8,Naha,26.22000,127.67000
2013,81.5,Naha,26.22000,127.67000
2014,92.7,Naha,26.22000,127.67000
