year,level_norm,city,latitude,longtitude
1994,0.0,Chichijima,27.08000,142.18000
1995,-40.9,Chichijima,27.08000,142.18000
1996,-60.6,Chichijima,27.08000,142.18000
1997,-24.7,Chichijima,27.08000,142.18000
1998,38.4,Chichijima,27.08000,142.18000
1999,-14.2,Chichijima,27.08000,142.18000
2000,63.5,Chichijima,27.08000,142.18000
2001,13.1,Chichijima,27.08000,142.18000
2002,-22.4,Chichijima,27.08000,142.18000
2003,37.8,Chichijima,27.08000,142.18000
2004,-21.4,Chichijima,27.08000,142.18000
2005,20.5,Chichijima,27.08000,142.18000
2006,8.0,Chichijima,27.08000,142.18000
2007,-0.2,Chichijima,27.08000,142.18000
2008,-38.2,Chichijima,27.08000,142.18000
2009,25.8,Chichijima,27.08000,142.18000
2010,12.1,Chichijima,27.08000,142.18000
2011,62.8,Chichijima,27.08000,142.18000
2012,-17.1,Chichijima,27.08000,142.18000
2013,-69.1,Chichijima,27.08000,142.18000
2014,-20.1,Chichijima,27.08000,142.18000
