year,level_norm,city,latitude,longtitude
1994,0.0,Clearwater Beach,27.98000,-82.83000
1995,-127.3,Clearwater Beach,27.98000,-82.83000
1996,-215.4,Clearwater Beach,27.98000,-82.83000
1997,-172.0,Clearwater Beach,27.98000,-82.83000
1998,-216.8,Clearwater Beach,27.98000,-82.83000
1999,-120.3,Clearwater Beach,27.98000,-82.83000
2000,-141.9,Clearwater Beach,27.98000,-82.83000
2001,-169.1,Clearwater Beach,27.98000,-82.83000
2002,-154.5,Clearwater Beach,27.98000,-82.83000
2003,-178.5,Clearwater Beach,27.98000,-82.83000
2004,-192.5,Clearwater Beach,27.98000,-82.83000
2005,-113.1,Clearwater Beach,27.98000,-82.83000
2006,-170.1,Clearwater Beach,27.98000,-82.83000
2007,-140.0,Clearwater Beach,27.98000,-82.83000
2008,-148.5,Clearwater Beach,27.98000,-82.83000
2009,-125.6,Clearwater Beach,27.98000,-82.83000
2010,-161.0,Clearwater Beach,27.98000,-82.83000
2011,-153.2,Clearwater Beach,27.98000,-82.83000
2012,-102.0,Clearwater Beach,27.98000,-82.83000
2013,-99.7,Clearwater Beach,27.98000,-82.83000
2014,-48.8,Clearwater Beach,27.98000,-82.83000
