year,level_norm,city,latitude,longtitude
1994,0.0,Buenaventura,3.90000,-77.10000
1995,-12.5,Buenaventura,3.90000,-77.10000
1996,-18.3,Buenaventura,3.90000,-77.10000
1997,102.7,Buenaventura,3.90000,-77.10000
1998,1.5,Buenaventura,3.90000,-77.10000
1999,-2.3,Buenaventura,3.90000,-77.10000
2000,-17.7,Buenaventura,3.90000,-77.10000
2001,-20.1,Buenaventura,3.90000,-77.10000
2002,55.4,Buenaventura,3.90000,-77.10000
2003,6.4,Buenaventura,3.90000,-77.10000
2004,38.8,Buenaventura,3.90000,-77.10000
2005,13.2,Buenaventura,3.90000,-77.10000
2006,4.8,Buenaventura,3.90000,-77.10000
2007,-40.3,Buenaventura,3.90000,-77.10000
2008,4.7,Buenaventura,3.90000,-77.10000
2009,54.1,Buenaventura,3.90000,-77.10000
2010,58.8,Buenaventura,3.90000,-77.10000
2011,-41.7,Buenaventura,3.90000,-77.10000
2012,120.2,Buenaventura,3.90000,-77.10000
2013,57.5,Buenaventura,3.90000,-77.10000
2014,96.8,Buenaventura,3.90000,-77.10000
