year,level_norm,city,latitude,longtitude
1994,0.0,Panama City,30.15200,-85.67000
1995,8.5,Panama City,30.15200,-85.67000
1996,-28.9,Panama City,30.15200,-85.67000
1997,-17.5,Panama City,30.15200,-85.67000
1998,10.0,Panama City,30.15200,-85.67000
1999,27.7,Panama City,30.15200,-85.67000
2000,-4.9,Panama City,30.15200,-85.67000
2001,-42.8,Panama City,30.15200,-85.67000
2002,-5.4,Panama City,30.15200,-85.67000
2003,22.0,Panama City,30.15200,-85.67000
2004,-17.3,Panama City,30.15200,-85.67000
2005,14.6,Panama City,30.15200,-85.67000
2006,-26.4,Panama City,30.15200,-85.67000
2007,-1.6,Panama City,30.15200,-85.67000
2008,-140.7,Panama City,30.15200,-85.67000
2013,114.9,Panama City,30.15200,-85.67000
2014,56.6,Panama City,30.15200,-85.67000
