year,level_norm,city,latitude,longtitude
1994,0.0,Mera,34.91700,139.83300
1995,13.1,Mera,34.91700,139.83300
1996,-24.8,Mera,34.91700,139.83300
1997,5.6,Mera,34.91700,139.83300
1998,16.1,Mera,34.91700,139.83300
1999,64.6,Mera,34.91700,139.83300
2000,70.6,Mera,34.91700,139.83300
2001,71.8,Mera,34.91700,139.83300
2002,60.2,Mera,34.91700,139.83300
2003,72.3,Mera,34.91700,139.83300
2004,88.1,Mera,34.91700,139.83300
2005,57.8,Mera,34.91700,139.83300
2006,34.9,Mera,34.91700,139.83300
2007,75.8,Mera,34.91700,139.83300
2008,85.3,Mera,34.91700,139.83300
2009,91.9,Mera,34.91700,139.83300
2010,111.4,Mera,34.91700,139.83300
2011,108.9,Mera,34.91700,139.83300
2012,133.0,Mera,34.91700,139.83300
2013,134.9,Mera,34.91700,139.83300
2014,89.1,Mera,34.91700,139.83300
