year,level_norm,city,latitude,longtitude
1994,0.0,New York,40.70000,-74.02000
1995,51.3,New York,40.70000,-74.02000
1996,79.4,New York,40.70000,-74.02000
1997,190.6,New York,40.70000,-74.02000
1998,123.2,New York,40.70000,-74.02000
1999,71.3,New York,40.70000,-74.02000
2000,81.0,New York,40.70000,-74.02000
2001,84.6,New York,40.70000,-74.02000
2002,42.6,New York,40.70000,-74.02000
2003,78.5,New York,40.70000,-74.02000
2004,100.9,New York,40.70000,-74.02000
2005,138.6,New York,40.70000,-74.02000
2006,113.9,New York,40.70000,-74.02000
2007,62.7,New York,40.70000,-74.02000
2008,116.2,New York,40.70000,-74.02000
2009,144.7,New York,40.70000,-74.02000
2010,180.6,New York,40.70000,-74.02000
2011,177.5,New York,40.70000,-74.02000
2012,151.5,New York,40.70000,-74.02000
2013,118.7,New York,40.70000,-74.02000
2014,139.1,New York,40.70000,-74.02000
