year,level_norm,city,latitude,longtitude
1994,0.0,Crescent City,41.74500,-124.18300
1995,47.1,Crescent City,41.74500,-124.18300
1996,4.6,Crescent City,41.74500,-124.18300
1997,32.9,Crescent City,41.74500,-124.18300
1998,38.1,Crescent City,41.74500,-124.18300
1999,-52.0,Crescent City,41.74500,-124.18300
2000,-34.7,Crescent City,41.74500,-124.18300
2001,-57.1,Crescent City,41.74500,-124.18300
2002,-28.6,Crescent City,41.74500,-124.18300
2003,3.2,Crescent City,41.74500,-124.18300
2004,-8.5,Crescent City,41.74500,-124.18300
2005,12.8,Crescent City,41.74500,-124.18300
2006,13.9,Crescent City,41.74500,-124.18300
2007,-68.7,Crescent City,41.74500,-124.18300
2008,-53.5,Crescent City,41.74500,-124.18300
2009,-31.0,Crescent City,41.74500,-124.18300
2010,5.9,Crescent City,41.74500,-124.18300
2011,-56.6,Crescent City,41.74500,-124.18300
2012,-27.2,Crescent City,41.74500,-124.18300
2013,-99.1,Crescent City,41.74500,-124.18300
2014,14.9,Crescent City,41.74500,-124.18300
