year,level_norm,city,latitude,longtitude
1994,0.0,Boston,42.35000,-71.05000
1995,39.7,Boston,42.35000,-71.05000
1996,96.9,Boston,42.35000,-71.05000
1997,85.5,Boston,42.35000,-71.05000
1998,104.8,Boston,42.35000,-71.05000
1999,53.4,Boston,42.35000,-71.05000
2000,55.1,Boston,42.35000,-71.05000
2001,51.2,Boston,42.35000,-71.05000
2002,50.7,Boston,42.35000,-71.05000
2003,73.0,Boston,42.35000,-71.05000
2004,78.1,Boston,42.35000,-71.05000
2005,132.4,Boston,42.35000,-71.05000
2006,115.7,Boston,42.35000,-71.05000
2007,79.3,Boston,42.35000,-71.05000
2008,100.4,Boston,42.35000,-71.05000
2009,136.7,Boston,42.35000,-71.05000
2010,198.4,Boston,42.35000,-71.05000
2011,159.8,Boston,42.35000,-71.05000
2012,142.0,Boston,42.35000,-71.05000
2013,133.4,Boston,42.35000,-71.05000
2014,134.5,Boston,42.35000,-71.05000
