year,level_norm,city,latitude,longtitude
1994,0.0,Abashiri,44.01700,144.28300
1995,26.3,Abashiri,44.01700,144.28300
1996,5.8,Abashiri,44.01700,144.28300
1997,35.4,Abashiri,44.01700,144.28300
1998,-5.1,Abashiri,44.01700,144.28300
1999,17.3,Abashiri,44.01700,144.28300
2000,27.5,Abashiri,44.01700,144.28300
2001,-4.2,Abashiri,44.01700,144.28300
2002,21.6,Abashiri,44.01700,144.28300
2003,-8.5,Abashiri,44.01700,144.28300
2004,44.6,Abashiri,44.01700,144.28300
2005,36.3,Abashiri,44.01700,144.28300
2006,-2.1,Abashiri,44.01700,144.28300
2007,2.0,Abashiri,44.01700,144.28300
2008,-13.9,Abashiri,44.01700,144.28300
2009,15.7,Abashiri,44.01700,144.28300
2010,32.0,Abashiri,44.01700,144.28300
2011,27.7,Abashiri,44.01700,144.28300
2012,7.2,Abashiri,44.01700,144.28300
2013,40.9,Abashiri,44.01700,144.28300
2014,43.9,Abashiri,44.01700,144.28300
