year,level_norm,city,latitude,longtitude
1996,0.0,Port Angeles,48.12500,-123.44000
1997,79.6,Port Angeles,48.12500,-123.44000
1998,51.8,Port Angeles,48.12500,-123.44000
1999,-5.3,Port Angeles,48.12500,-123.44000
2000,-42.1,Port Angeles,48.12500,-123.44000
2001,-49.0,Port Angeles,48.12500,-123.44000
2002,-41.7,Port Angeles,48.12500,-123.44000
2003,7.3,Port Angeles,48.12500,-123.44000
2004,-14.6,Port Angeles,48.12500,-123.44000
2005,4.2,Port Angeles,48.12500,-123.44000
2006,21.3,Port Angeles,48.12500,-123.44000
2007,-42.2,Port Angeles,48.12500,-123.44000
2008,-48.8,Port Angeles,48.12500,-123.44000
2009,-35.5,Port Angeles,48.12500,-123.44000
2010,55.9,Port Angeles,48.12500,-123.44000
2011,-13.5,Port Angeles,48.12500,-123.44000
2012,27.4,Port Angeles,48.12500,-123.44000
2013,-77.9,Port Angeles,48.12500,-123.44000
2014,42.0,Port Angeles,48.12500,-123.44000
