year,level_norm,city,latitude,longtitude
1994,0.0,Cuxhaven,53.87000,8.72000
1995,0.900000000001,Cuxhaven,53.87000,8.72000
1996,-179.9,Cuxhaven,53.87000,8.72000
1997,-78.0,Cuxhaven,53.87000,8.72000
1998,19.4,Cuxhaven,53.87000,8.72000
1999,14.1,Cuxhaven,53.87000,8.72000
2000,2.5,Cuxhaven,53.87000,8.72000
2001,-15.5,Cuxhaven,53.87000,8.72000
2002,-27.3,Cuxhaven,53.87000,8.72000
2003,-24.4,Cuxhaven,53.87000,8.72000
2004,25.8,Cuxhaven,53.87000,8.72000
2005,-21.3,Cuxhaven,53.87000,8.72000
2006,-17.2,Cuxhaven,53.87000,8.72000
2007,68.3,Cuxhaven,53.87000,8.72000
2008,29.7,Cuxhaven,53.87000,8.72000
2009,-33.4,Cuxhaven,53.87000,8.72000
2010,-50.5,Cuxhaven,53.87000,8.72000
2011,5.7,Cuxhaven,53.87000,8.72000
2012,-24.7,Cuxhaven,53.87000,8.72000
2013,-55.9,Cuxhaven,53.87000,8.72000
2014,-21.3,Cuxhaven,53.87000,8.72000
