year,level_norm,city,latitude,longtitude
1994,0.0,Langkawi,6.86700,99.76700
1995,64.3,Langkawi,6.86700,99.76700
1996,73.9,Langkawi,6.86700,99.76700
1997,-47.4,Langkawi,6.86700,99.76700
1998,59.0,Langkawi,6.86700,99.76700
1999,90.2,Langkawi,6.86700,99.76700
2000,105.2,Langkawi,6.86700,99.76700
2001,104.0,Langkawi,6.86700,99.76700
2002,19.5,Langkawi,6.86700,99.76700
2003,56.2,Langkawi,6.86700,99.76700
2004,47.5,Langkawi,6.86700,99.76700
2005,64.8,Langkawi,6.86700,99.76700
2006,0.6,Langkawi,6.86700,99.76700
2007,31.8,Langkawi,6.86700,99.76700
2008,85.4,Langkawi,6.86700,99.76700
2009,53.0,Langkawi,6.86700,99.76700
2010,107.9,Langkawi,6.86700,99.76700
2011,83.7,Langkawi,6.86700,99.76700
2012,152.5,Langkawi,6.86700,99.76700
2013,161.4,Langkawi,6.86700,99.76700
2014,115.7,Langkawi,6.86700,99.76700
