year,level_norm,city,latitude,longtitude
1994,0.0,Maloy,61.93300,5.11700
1995,6.3,Maloy,61.93300,5.11700
1996,-57.7,Maloy,61.93300,5.11700
1997,8.3,Maloy,61.93300,5.11700
1998,42.5,Maloy,61.93300,5.11700
1999,57.6,Maloy,61.93300,5.11700
2000,43.3,Maloy,61.93300,5.11700
2001,10.9,Maloy,61.93300,5.11700
2002,53.1,Maloy,61.93300,5.11700
2003,33.7,Maloy,61.93300,5.11700
2004,48.8,Maloy,61.93300,5.11700
2005,36.0,Maloy,61.93300,5.11700
2006,48.9,Maloy,61.93300,5.11700
2007,57.9,Maloy,61.93300,5.11700
2008,79.0,Maloy,61.93300,5.11700
2009,53.0,Maloy,61.93300,5.11700
2010,-7.5,Maloy,61.93300,5.11700
2011,81.5,Maloy,61.93300,5.11700
2012,31.7,Maloy,61.93300,5.11700
2013,30.2,Maloy,61.93300,5.11700
2014,56.7,Maloy,61.93300,5.11700
