year,level_norm,city,latitude,longtitude
1994,0.0,Majuro,7.11700,171.36700
1995,39.5,Majuro,7.11700,171.36700
1996,76.8,Majuro,7.11700,171.36700
1997,-64.1,Majuro,7.11700,171.36700
1998,67.2,Majuro,7.11700,171.36700
1999,45.9,Majuro,7.11700,171.36700
2000,94.3,Majuro,7.11700,171.36700
2001,79.2,Majuro,7.11700,171.36700
2002,22.6,Majuro,7.11700,171.36700
2003,76.8,Majuro,7.11700,171.36700
2004,86.0,Majuro,7.11700,171.36700
2005,69.8,Majuro,7.11700,171.36700
2006,42.2,Majuro,7.11700,171.36700
2007,86.4,Majuro,7.11700,171.36700
2008,75.2,Majuro,7.11700,171.36700
2009,68.6,Majuro,7.11700,171.36700
2010,115.8,Majuro,7.11700,171.36700
2011,153.4,Majuro,7.11700,171.36700
2012,159.3,Majuro,7.11700,171.36700
2013,111.4,Majuro,7.11700,171.36700
2014,85.5,Majuro,7.11700,171.36700
