year,level_norm,city,latitude,longtitude
1994,0.0,Vardoe,70.34000,31.03000
1995,17.8,Vardoe,70.34000,31.03000
1996,-41.2,Vardoe,70.34000,31.03000
1997,5.7,Vardoe,70.34000,31.03000
1998,-64.6,Vardoe,70.34000,31.03000
1999,-4.4,Vardoe,70.34000,31.03000
2000,-1.8,Vardoe,70.34000,31.03000
2001,25.9,Vardoe,70.34000,31.03000
2002,9.9,Vardoe,70.34000,31.03000
2003,39.3,Vardoe,70.34000,31.03000
2004,12.4,Vardoe,70.34000,31.03000
2005,18.0,Vardoe,70.34000,31.03000
2006,20.5,Vardoe,70.34000,31.03000
2007,47.0,Vardoe,70.34000,31.03000
2008,-2.3,Vardoe,70.34000,31.03000
2009,-18.1,Vardoe,70.34000,31.03000
2010,-60.8,Vardoe,70.34000,31.03000
2011,5.3,Vardoe,70.34000,31.03000
2012,-31.7,Vardoe,70.34000,31.03000
2013,-30.0,Vardoe,70.34000,31.03000
2014,-19.0,Vardoe,70.34000,31.03000
