year,level_norm,city,latitude,longtitude
1994,0.0,Baltra (Galapagos Is.),-0.43300,-90.28300
1995,-25.0,Baltra (Galapagos Is.),-0.43300,-90.28300
1996,-28.1,Baltra (Galapagos Is.),-0.43300,-90.28300
1997,179.8,Baltra (Galapagos Is.),-0.43300,-90.28300
1998,48.7,Baltra (Galapagos Is.),-0.43300,-90.28300
1999,-57.2,Baltra (Galapagos Is.),-0.43300,-90.28300
2000,-32.3,Baltra (Galapagos Is.),-0.43300,-90.28300
2001,-28.4,Baltra (Galapagos Is.),-0.43300,-90.28300
2002,5.3,Baltra (Galapagos Is.),-0.43300,-90.28300
2004,10.5,Baltra (Galapagos Is.),-0.43300,-90.28300
2005,-1.9,Baltra (Galapagos Is.),-0.43300,-90.28300
2006,26.3,Baltra (Galapagos Is.),-0.43300,-90.28300
2007,-12.9,Baltra (Galapagos Is.),-0.43300,-90.28300
2008,5.0,Baltra (Galapagos Is.),-0.43300,-90.28300
2009,14.5,Baltra (Galapagos Is.),-0.43300,-90.28300
2010,-27.3,Baltra (Galapagos Is.),-0.43300,-90.28300
2011,-7.0,Baltra (Galapagos Is.),-0.43300,-90.28300
2012,14.0,Baltra (Galapagos Is.),-0.43300,-90.28300
2013,-9.2,Baltra (Galapagos Is.),-0.43300,-90.28300
2014,79.4,Baltra (Galapagos Is.),-0.43300,-90.28300
