year,level_norm,city,latitude,longtitude
1994,0.0,Santa Cruz Galapagos,-0.75200,-90.30700
1995,-29.5,Santa Cruz Galapagos,-0.75200,-90.30700
1996,-38.7,Santa Cruz Galapagos,-0.75200,-90.30700
1997,196.8,Santa Cruz Galapagos,-0.75200,-90.30700
1998,66.5,Santa Cruz Galapagos,-0.75200,-90.30700
1999,-33.2,Santa Cruz Galapagos,-0.75200,-90.30700
2000,-19.8,Santa Cruz Galapagos,-0.75200,-90.30700
2001,-6.8,Santa Cruz Galapagos,-0.75200,-90.30700
2002,57.3,Santa Cruz Galapagos,-0.75200,-90.30700
2003,10.1,Santa Cruz Galapagos,-0.75200,-90.30700
2004,13.2,Santa Cruz Galapagos,-0.75200,-90.30700
2005,5.8,Santa Cruz Galapagos,-0.75200,-90.30700
2006,52.0,Santa Cruz Galapagos,-0.75200,-90.30700
2007,-35.8,Santa Cruz Galapagos,-0.75200,-90.30700
2008,11.4,Santa Cruz Galapagos,-0.75200,-90.30700
2009,32.2,Santa Cruz Galapagos,-0.75200,-90.30700
2010,-16.0,Santa Cruz Galapagos,-0.75200,-90.30700
2011,5.6,Santa Cruz Galapagos,-0.75200,-90.30700
2012,32.3,Santa Cruz Galapagos,-0.75200,-90.30700
2013,8.7,Santa Cruz Galapagos,-0.75200,-90.30700
2014,71.9,Santa Cruz Galapagos,-0.75200,-90.30700
