year,level_norm,city,latitude,longtitude
1994,0.0,Dzaoudzi (Mayotte),-12.78300,45.25000
1995,-13.2,Dzaoudzi (Mayotte),-12.78300,45.25000
2006,17.4,Dzaoudzi (Mayotte),-12.78300,45.25000
2008,148.4,Dzaoudzi (Mayotte),-12.78300,45.25000
2009,17.2,Dzaoudzi (Mayotte),-12.78300,45.25000
2010,115.4,Dzaoudzi (Mayotte),-12.78300,45.25000
2011,71.4,Dzaoudzi (Mayotte),-12.78300,45.25000
2012,41.9,Dzaoudzi (Mayotte),-12.78300,45.25000
2013,80.4,Dzaoudzi (Mayotte),-12.78300,45.25000
2014,113.4,Dzaoudzi (Mayotte),-12.78300,45.25000
