year,level_norm,city,latitude,longtitude
1994,0.0,Groote Eylandt,-13.83000,136.50000
1995,79.0,Groote Eylandt,-13.83000,136.50000
1996,162.9,Groote Eylandt,-13.83000,136.50000
1997,23.1,Groote Eylandt,-13.83000,136.50000
1998,159.7,Groote Eylandt,-13.83000,136.50000
1999,214.3,Groote Eylandt,-13.83000,136.50000
2000,234.0,Groote Eylandt,-13.83000,136.50000
2001,231.5,Groote Eylandt,-13.83000,136.50000
2002,79.0,Groote Eylandt,-13.83000,136.50000
2003,130.8,Groote Eylandt,-13.83000,136.50000
2004,102.8,Groote Eylandt,-13.83000,136.50000
2005,105.0,Groote Eylandt,-13.83000,136.50000
2006,145.2,Groote Eylandt,-13.83000,136.50000
2007,151.6,Groote Eylandt,-13.83000,136.50000
2008,218.5,Groote Eylandt,-13.83000,136.50000
2009,214.2,Groote Eylandt,-13.83000,136.50000
2010,263.2,Groote Eylandt,-13.83000,136.50000
2011,266.7,Groote Eylandt,-13.83000,136.50000
2012,217.0,Groote Eylandt,-13.83000,136.50000
2013,297.3,Groote Eylandt,-13.83000,136.50000
2014,171.3,Groote Eylandt,-13.83000,136.50000
