year,level_norm,city,latitude,longtitude
1994,0.0,Pago Pago,-14.27700,-170.69100
1995,18.8,Pago Pago,-14.27700,-170.69100
1996,75.2,Pago Pago,-14.27700,-170.69100
1997,23.2,Pago Pago,-14.27700,-170.69100
1998,-179.0,Pago Pago,-14.27700,-170.69100
1999,62.3,Pago Pago,-14.27700,-170.69100
2000,49.8,Pago Pago,-14.27700,-170.69100
2001,66.2,Pago Pago,-14.27700,-170.69100
2002,51.4,Pago Pago,-14.27700,-170.69100
2003,61.2,Pago Pago,-14.27700,-170.69100
2004,92.1,Pago Pago,-14.27700,-170.69100
2005,48.8,Pago Pago,-14.27700,-170.69100
2006,95.5,Pago Pago,-14.27700,-170.69100
2007,77.0,Pago Pago,-14.27700,-170.69100
2008,69.9,Pago Pago,-14.27700,-170.69100
2009,72.6,Pago Pago,-14.27700,-170.69100
2010,100.2,Pago Pago,-14.27700,-170.69100
2011,216.1,Pago Pago,-14.27700,-170.69100
2012,195.1,Pago Pago,-14.27700,-170.69100
2013,179.2,Pago Pago,-14.27700,-170.69100
2014,193.5,Pago Pago,-14.27700,-170.69100
