year,level_norm,city,latitude,longtitude
1995,0.0,Matarani,-17.00000,-72.11700
1996,28.6,Matarani,-17.00000,-72.11700
1997,136.0,Matarani,-17.00000,-72.11700
1998,55.1,Matarani,-17.00000,-72.11700
1999,56.4,Matarani,-17.00000,-72.11700
2000,67.3,Matarani,-17.00000,-72.11700
2001,100.4,Matarani,-17.00000,-72.11700
2002,225.8,Matarani,-17.00000,-72.11700
2003,175.5,Matarani,-17.00000,-72.11700
2004,114.4,Matarani,-17.00000,-72.11700
2005,112.5,Matarani,-17.00000,-72.11700
2006,240.7,Matarani,-17.00000,-72.11700
2007,132.9,Matarani,-17.00000,-72.11700
2008,148.5,Matarani,-17.00000,-72.11700
2009,118.9,Matarani,-17.00000,-72.11700
2010,96.9,Matarani,-17.00000,-72.11700
2011,98.3,Matarani,-17.00000,-72.11700
2012,133.1,Matarani,-17.00000,-72.11700
2013,120.6,Matarani,-17.00000,-72.11700
2014,147.4,Matarani,-17.00000,-72.11700
