year,level_norm,city,latitude,longtitude
1994,0.0,La Libertad,-2.20900,-80.90200
1995,-67.2,La Libertad,-2.20900,-80.90200
1996,-90.7,La Libertad,-2.20900,-80.90200
1997,119.1,La Libertad,-2.20900,-80.90200
1998,44.6,La Libertad,-2.20900,-80.90200
1999,-87.3,La Libertad,-2.20900,-80.90200
2000,-66.2,La Libertad,-2.20900,-80.90200
2001,-87.2,La Libertad,-2.20900,-80.90200
2002,-23.9,La Libertad,-2.20900,-80.90200
2003,-30.1,La Libertad,-2.20900,-80.90200
2004,-27.2,La Libertad,-2.20900,-80.90200
2005,-15.1,La Libertad,-2.20900,-80.90200
2006,35.1,La Libertad,-2.20900,-80.90200
2007,-28.2,La Libertad,-2.20900,-80.90200
2008,33.4,La Libertad,-2.20900,-80.90200
2009,21.1,La Libertad,-2.20900,-80.90200
2010,-9.8,La Libertad,-2.20900,-80.90200
2011,-9.9,La Libertad,-2.20900,-80.90200
2012,17.9,La Libertad,-2.20900,-80.90200
2013,13.0,La Libertad,-2.20900,-80.90200
2014,58.7,La Libertad,-2.20900,-80.90200
