year,level_norm,city,latitude,longtitude
1994,0.0,Noumea,-22.28500,166.43300
1995,7.4,Noumea,-22.28500,166.43300
1996,-6.9,Noumea,-22.28500,166.43300
1997,10.9,Noumea,-22.28500,166.43300
1998,78.4,Noumea,-22.28500,166.43300
1999,13.0,Noumea,-22.28500,166.43300
2000,11.9,Noumea,-22.28500,166.43300
2001,2.7,Noumea,-22.28500,166.43300
2002,25.9,Noumea,-22.28500,166.43300
2003,5.2,Noumea,-22.28500,166.43300
2004,-1.0,Noumea,-22.28500,166.43300
2005,-21.2,Noumea,-22.28500,166.43300
2006,-53.6,Noumea,-22.28500,166.43300
2007,6.9,Noumea,-22.28500,166.43300
2008,35.4,Noumea,-22.28500,166.43300
2009,67.1,Noumea,-22.28500,166.43300
2010,99.6,Noumea,-22.28500,166.43300
2011,13.6,Noumea,-22.28500,166.43300
2012,72.8,Noumea,-22.28500,166.43300
2013,57.5,Noumea,-22.28500,166.43300
2014,57.0,Noumea,-22.28500,166.43300
