year,level_norm,city,latitude,longtitude
1994,0.0,Brisbane,-27.36700,153.16700
1995,5.2,Brisbane,-27.36700,153.16700
1996,1.8,Brisbane,-27.36700,153.16700
1997,-16.7,Brisbane,-27.36700,153.16700
1998,32.7,Brisbane,-27.36700,153.16700
1999,68.1,Brisbane,-27.36700,153.16700
2000,44.6,Brisbane,-27.36700,153.16700
2001,63.6,Brisbane,-27.36700,153.16700
2002,34.1,Brisbane,-27.36700,153.16700
2003,52.3,Brisbane,-27.36700,153.16700
2004,40.9,Brisbane,-27.36700,153.16700
2005,53.1,Brisbane,-27.36700,153.16700
2006,23.6,Brisbane,-27.36700,153.16700
2007,59.3,Brisbane,-27.36700,153.16700
2008,72.7,Brisbane,-27.36700,153.16700
2009,77.8,Brisbane,-27.36700,153.16700
2010,99.2,Brisbane,-27.36700,153.16700
2011,118.0,Brisbane,-27.36700,153.16700
2012,97.8,Brisbane,-27.36700,153.16700
2013,139.1,Brisbane,-27.36700,153.16700
2014,93.9,Brisbane,-27.36700,153.16700
