year,level_norm,city,latitude,longtitude
1994,0.0,Port Nolloth,-29.25000,16.86700
2000,57.3,Port Nolloth,-29.25000,16.86700
2001,41.2,Port Nolloth,-29.25000,16.86700
2002,0.7,Port Nolloth,-29.25000,16.86700
2003,30.2,Port Nolloth,-29.25000,16.86700
2004,48.6,Port Nolloth,-29.25000,16.86700
2005,31.1,Port Nolloth,-29.25000,16.86700
2006,64.6,Port Nolloth,-29.25000,16.86700
2007,57.7,Port Nolloth,-29.25000,16.86700
2008,47.0,Port Nolloth,-29.25000,16.86700
2009,64.3,Port Nolloth,-29.25000,16.86700
2010,68.6,Port Nolloth,-29.25000,16.86700
2011,73.2,Port Nolloth,-29.25000,16.86700
2012,67.5,Port Nolloth,-29.25000,16.86700
2013,66.2,Port Nolloth,-29.25000,16.86700
2014,68.6,Port Nolloth,-29.25000,16.86700
