year,level_norm,city,latitude,longtitude
1994,0.0,Durban,-29.83300,31.03300
1995,8.0,Durban,-29.83300,31.03300
1996,61.0,Durban,-29.83300,31.03300
1997,216.8,Durban,-29.83300,31.03300
2000,7.5,Durban,-29.83300,31.03300
2001,48.6,Durban,-29.83300,31.03300
2002,32.6,Durban,-29.83300,31.03300
2003,29.5,Durban,-29.83300,31.03300
2006,63.8,Durban,-29.83300,31.03300
2007,85.8,Durban,-29.83300,31.03300
2008,79.0,Durban,-29.83300,31.03300
2009,59.5,Durban,-29.83300,31.03300
2010,58.7,Durban,-29.83300,31.03300
2011,70.0,Durban,-29.83300,31.03300
2013,91.7,Durban,-29.83300,31.03300
2014,66.0,Durban,-29.83300,31.03300
