year,level_norm,city,latitude,longtitude
1994,0.0,East London,-33.00000,27.90000
1995,-16.6,East London,-33.00000,27.90000
1996,-15.2,East London,-33.00000,27.90000
1997,28.9,East London,-33.00000,27.90000
1998,-118.9,East London,-33.00000,27.90000
2001,384.2,East London,-33.00000,27.90000
2002,-63.3,East London,-33.00000,27.90000
2003,73.2,East London,-33.00000,27.90000
2004,7.4,East London,-33.00000,27.90000
2005,-2.0,East London,-33.00000,27.90000
2006,-3.9,East London,-33.00000,27.90000
2007,25.9,East London,-33.00000,27.90000
2008,-11.6,East London,-33.00000,27.90000
2009,11.0,East London,-33.00000,27.90000
2010,31.3,East London,-33.00000,27.90000
2011,23.8,East London,-33.00000,27.90000
2013,76.2,East London,-33.00000,27.90000
2014,40.8,East London,-33.00000,27.90000
