year,level_norm,city,latitude,longtitude
1994,0.0,Juan Fernandez,-33.61700,-78.83300
1995,44.5,Juan Fernandez,-33.61700,-78.83300
1996,78.1,Juan Fernandez,-33.61700,-78.83300
1997,32.0,Juan Fernandez,-33.61700,-78.83300
1998,18.5,Juan Fernandez,-33.61700,-78.83300
1999,-2.5,Juan Fernandez,-33.61700,-78.83300
2000,-7.7,Juan Fernandez,-33.61700,-78.83300
2001,120.5,Juan Fernandez,-33.61700,-78.83300
2002,3.5,Juan Fernandez,-33.61700,-78.83300
2003,-24.9,Juan Fernandez,-33.61700,-78.83300
2004,51.1,Juan Fernandez,-33.61700,-78.83300
2005,-103.3,Juan Fernandez,-33.61700,-78.83300
2006,8.4,Juan Fernandez,-33.61700,-78.83300
2007,53.6,Juan Fernandez,-33.61700,-78.83300
2008,13.7,Juan Fernandez,-33.61700,-78.83300
2009,69.8,Juan Fernandez,-33.61700,-78.83300
2010,60.0,Juan Fernandez,-33.61700,-78.83300
2011,26.8,Juan Fernandez,-33.61700,-78.83300
2012,113.5,Juan Fernandez,-33.61700,-78.83300
2013,90.2,Juan Fernandez,-33.61700,-78.83300
2014,83.6,Juan Fernandez,-33.61700,-78.83300
