year,level_norm,city,latitude,longtitude
1994,0.0,Fort Denison (Sydney),-33.85000,151.23300
1995,3.9,Fort Denison (Sydney),-33.85000,151.23300
1996,16.0,Fort Denison (Sydney),-33.85000,151.23300
1997,-31.9,Fort Denison (Sydney),-33.85000,151.23300
1998,34.3,Fort Denison (Sydney),-33.85000,151.23300
1999,23.5,Fort Denison (Sydney),-33.85000,151.23300
2000,42.2,Fort Denison (Sydney),-33.85000,151.23300
2001,87.1,Fort Denison (Sydney),-33.85000,151.23300
2002,30.2,Fort Denison (Sydney),-33.85000,151.23300
2003,26.6,Fort Denison (Sydney),-33.85000,151.23300
2004,22.1,Fort Denison (Sydney),-33.85000,151.23300
2005,35.9,Fort Denison (Sydney),-33.85000,151.23300
2006,17.6,Fort Denison (Sydney),-33.85000,151.23300
2007,43.5,Fort Denison (Sydney),-33.85000,151.23300
2008,37.4,Fort Denison (Sydney),-33.85000,151.23300
2009,45.2,Fort Denison (Sydney),-33.85000,151.23300
2010,50.7,Fort Denison (Sydney),-33.85000,151.23300
2011,73.1,Fort Denison (Sydney),-33.85000,151.23300
2012,52.0,Fort Denison (Sydney),-33.85000,151.23300
2013,106.0,Fort Denison (Sydney),-33.85000,151.23300
2014,77.4,Fort Denison (Sydney),-33.85000,151.23300
