year,level_norm,city,latitude,longtitude
1994,0.0,Granger Bay,-33.90000,18.41700
1995,-26.7,Granger Bay,-33.90000,18.41700
1996,-40.9,Granger Bay,-33.90000,18.41700
1997,86.2,Granger Bay,-33.90000,18.41700
2001,0.5,Granger Bay,-33.90000,18.41700
2002,-48.5,Granger Bay,-33.90000,18.41700
2003,10.0,Granger Bay,-33.90000,18.41700
2004,9.0,Granger Bay,-33.90000,18.41700
2005,10.5,Granger Bay,-33.90000,18.41700
2006,15.2,Granger Bay,-33.90000,18.41700
2007,27.6,Granger Bay,-33.90000,18.41700
2008,-20.6,Granger Bay,-33.90000,18.41700
2009,22.0,Granger Bay,-33.90000,18.41700
2010,68.2,Granger Bay,-33.90000,18.41700
2013,62.3,Granger Bay,-33.90000,18.41700
2014,90.1,Granger Bay,-33.90000,18.41700
