year,level_norm,city,latitude,longtitude
1996,0.0,Knysna,-34.08000,23.05000
1997,129.4,Knysna,-34.08000,23.05000
2000,-32.8,Knysna,-34.08000,23.05000
2001,6.9,Knysna,-34.08000,23.05000
2002,-87.9,Knysna,-34.08000,23.05000
2003,-46.6,Knysna,-34.08000,23.05000
2005,9.0,Knysna,-34.08000,23.05000
2006,-12.8,Knysna,-34.08000,23.05000
2007,15.8,Knysna,-34.08000,23.05000
2008,12.8,Knysna,-34.08000,23.05000
2009,18.8,Knysna,-34.08000,23.05000
2010,20.0,Knysna,-34.08000,23.05000
2011,30.8,Knysna,-34.08000,23.05000
2012,45.2,Knysna,-34.08000,23.05000
2013,45.5,Knysna,-34.08000,23.05000
2014,42.0,Knysna,-34.08000,23.05000
