year,level_norm,city,latitude,longtitude
1994,0.0,Mardsen Point,-35.83300,174.50000
1995,-0.5,Mardsen Point,-35.83300,174.50000
1996,94.7,Mardsen Point,-35.83300,174.50000
1997,36.7,Mardsen Point,-35.83300,174.50000
1998,44.6,Mardsen Point,-35.83300,174.50000
1999,89.5,Mardsen Point,-35.83300,174.50000
2000,140.4,Mardsen Point,-35.83300,174.50000
2001,131.9,Mardsen Point,-35.83300,174.50000
2002,82.1,Mardsen Point,-35.83300,174.50000
2003,105.7,Mardsen Point,-35.83300,174.50000
2004,45.6,Mardsen Point,-35.83300,174.50000
2005,68.3,Mardsen Point,-35.83300,174.50000
2006,56.4,Mardsen Point,-35.83300,174.50000
2007,58.8,Mardsen Point,-35.83300,174.50000
2008,76.5,Mardsen Point,-35.83300,174.50000
2009,76.9,Mardsen Point,-35.83300,174.50000
2010,60.0,Mardsen Point,-35.83300,174.50000
2011,91.3,Mardsen Point,-35.83300,174.50000
2012,111.0,Mardsen Point,-35.83300,174.50000
2013,131.7,Mardsen Point,-35.83300,174.50000
2014,145.2,Mardsen Point,-35.83300,174.50000
