year,level_norm,city,latitude,longtitude
1994,0.0,Tauranga,-37.65000,176.18300
1995,21.8,Tauranga,-37.65000,176.18300
1996,71.5,Tauranga,-37.65000,176.18300
1997,46.2,Tauranga,-37.65000,176.18300
1998,85.5,Tauranga,-37.65000,176.18300
1999,133.0,Tauranga,-37.65000,176.18300
2000,152.1,Tauranga,-37.65000,176.18300
2002,135.6,Tauranga,-37.65000,176.18300
2003,112.1,Tauranga,-37.65000,176.18300
2004,104.7,Tauranga,-37.65000,176.18300
2005,116.5,Tauranga,-37.65000,176.18300
2006,101.9,Tauranga,-37.65000,176.18300
2007,124.0,Tauranga,-37.65000,176.18300
2008,156.8,Tauranga,-37.65000,176.18300
2009,173.5,Tauranga,-37.65000,176.18300
2010,154.0,Tauranga,-37.65000,176.18300
2011,185.3,Tauranga,-37.65000,176.18300
2012,150.7,Tauranga,-37.65000,176.18300
2013,174.0,Tauranga,-37.65000,176.18300
2014,136.6,Tauranga,-37.65000,176.18300
