year,level_norm,city,latitude,longtitude
1994,0.0,Taranaki,-39.05000,174.03300
1995,31.1,Taranaki,-39.05000,174.03300
1996,90.5,Taranaki,-39.05000,174.03300
1997,53.4,Taranaki,-39.05000,174.03300
1998,115.7,Taranaki,-39.05000,174.03300
1999,123.3,Taranaki,-39.05000,174.03300
2000,132.4,Taranaki,-39.05000,174.03300
2001,164.5,Taranaki,-39.05000,174.03300
2002,153.2,Taranaki,-39.05000,174.03300
2003,130.3,Taranaki,-39.05000,174.03300
2004,75.9,Taranaki,-39.05000,174.03300
2005,78.5,Taranaki,-39.05000,174.03300
2006,49.7,Taranaki,-39.05000,174.03300
2007,56.8,Taranaki,-39.05000,174.03300
2008,61.8,Taranaki,-39.05000,174.03300
2009,50.9,Taranaki,-39.05000,174.03300
2010,38.1,Taranaki,-39.05000,174.03300
2011,81.1,Taranaki,-39.05000,174.03300
2012,109.0,Taranaki,-39.05000,174.03300
2013,110.1,Taranaki,-39.05000,174.03300
2014,118.5,Taranaki,-39.05000,174.03300
