year,level_norm,city,latitude,longtitude
1994,0.0,Napier,-39.48000,176.92000
1998,-5.2,Napier,-39.48000,176.92000
1999,31.1,Napier,-39.48000,176.92000
2000,38.1,Napier,-39.48000,176.92000
2001,37.7,Napier,-39.48000,176.92000
2002,32.6,Napier,-39.48000,176.92000
2003,29.6,Napier,-39.48000,176.92000
2004,37.0,Napier,-39.48000,176.92000
2005,22.8,Napier,-39.48000,176.92000
2006,34.7,Napier,-39.48000,176.92000
2007,13.2,Napier,-39.48000,176.92000
2008,40.6,Napier,-39.48000,176.92000
2009,43.3,Napier,-39.48000,176.92000
2010,37.1,Napier,-39.48000,176.92000
2011,52.7,Napier,-39.48000,176.92000
2012,59.0,Napier,-39.48000,176.92000
2013,87.3,Napier,-39.48000,176.92000
2014,88.8,Napier,-39.48000,176.92000
