year,level_norm,city,latitude,longtitude
1994,0.0,Mombasa,-4.06700,39.39000
1995,-13.4,Mombasa,-4.06700,39.39000
1996,-15.2,Mombasa,-4.06700,39.39000
1997,15.8,Mombasa,-4.06700,39.39000
1998,41.3,Mombasa,-4.06700,39.39000
1999,-8.3,Mombasa,-4.06700,39.39000
2000,-48.9,Mombasa,-4.06700,39.39000
2001,-78.8,Mombasa,-4.06700,39.39000
2002,-37.5,Mombasa,-4.06700,39.39000
2003,-16.0,Mombasa,-4.06700,39.39000
2004,15.5,Mombasa,-4.06700,39.39000
2006,27.6,Mombasa,-4.06700,39.39000
2007,57.2,Mombasa,-4.06700,39.39000
2008,24.5,Mombasa,-4.06700,39.39000
2009,14.4,Mombasa,-4.06700,39.39000
2010,53.3,Mombasa,-4.06700,39.39000
2011,67.6,Mombasa,-4.06700,39.39000
2012,38.5,Mombasa,-4.06700,39.39000
2013,49.2,Mombasa,-4.06700,39.39000
2014,89.1,Mombasa,-4.06700,39.39000
